2020-04-02 15:15:57.576 [restartedMain,] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator[52] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-04-02 15:15:57.582 [restartedMain,] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean[416] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-04-02 15:15:57.596 [restartedMain,] INFO  o.s.b.d.a.OptionalLiveReloadServer[58] - LiveReload server is running on port 35729
2020-04-02 15:15:58.294 [restartedMain,] INFO  o.e.plugins.PluginsService[197] - no modules loaded
2020-04-02 15:15:58.294 [restartedMain,] INFO  o.e.plugins.PluginsService[200] - loaded plugin [org.elasticsearch.index.reindex.ReindexPlugin]
2020-04-02 15:15:58.294 [restartedMain,] INFO  o.e.plugins.PluginsService[200] - loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2020-04-02 15:15:58.297 [restartedMain,] INFO  o.e.plugins.PluginsService[200] - loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2020-04-02 15:15:58.297 [restartedMain,] INFO  o.e.plugins.PluginsService[200] - loaded plugin [org.elasticsearch.script.mustache.MustachePlugin]
2020-04-02 15:15:58.297 [restartedMain,] INFO  o.e.plugins.PluginsService[200] - loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2020-04-02 15:15:59.332 [restartedMain,] INFO  o.s.d.e.c.TransportClientFactoryBean[88] - Adding transport node : 192.168.0.115:9300
2020-04-02 15:16:00.223 [restartedMain,] WARN  c.n.c.sources.URLConfigurationSource[121] - No URLs will be polled as dynamic configuration sources.
2020-04-02 15:16:00.223 [restartedMain,] INFO  c.n.c.sources.URLConfigurationSource[122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-02 15:16:00.226 [restartedMain,] WARN  c.n.c.sources.URLConfigurationSource[121] - No URLs will be polled as dynamic configuration sources.
2020-04-02 15:16:00.226 [restartedMain,] INFO  c.n.c.sources.URLConfigurationSource[122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-02 15:16:00.268 [restartedMain,] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration[220] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-04-02 15:16:00.352 [restartedMain,] INFO  o.s.s.c.ThreadPoolTaskExecutor[181] - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-02 15:16:00.432 [restartedMain,] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration[106] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-04-02 15:16:01.358 [restartedMain,] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger[86] - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-04-02 15:16:01.405 [restartedMain,] INFO  o.s.c.n.eureka.InstanceInfoFactory[72] - Setting initial instance status as: STARTING
2020-04-02 15:16:01.433 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[368] - Initializing Eureka in region us-east-1
2020-04-02 15:16:01.476 [restartedMain,] INFO  c.n.d.p.DiscoveryJerseyProvider[70] - Using JSON encoding codec LegacyJacksonJson
2020-04-02 15:16:01.476 [restartedMain,] INFO  c.n.d.p.DiscoveryJerseyProvider[71] - Using JSON decoding codec LegacyJacksonJson
2020-04-02 15:16:01.569 [restartedMain,] INFO  c.n.d.p.DiscoveryJerseyProvider[80] - Using XML encoding codec XStreamXml
2020-04-02 15:16:01.569 [restartedMain,] INFO  c.n.d.p.DiscoveryJerseyProvider[81] - Using XML decoding codec XStreamXml
2020-04-02 15:16:01.729 [restartedMain,] INFO  c.n.d.s.r.aws.ConfigClusterResolver[43] - Resolving eureka endpoints via configuration
2020-04-02 15:16:01.940 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[981] - Disable delta property : false
2020-04-02 15:16:01.940 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[982] - Single vip registry refresh property : null
2020-04-02 15:16:01.940 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[983] - Force full registry fetch : false
2020-04-02 15:16:01.940 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[984] - Application is null : false
2020-04-02 15:16:01.940 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[985] - Registered Applications size is zero : true
2020-04-02 15:16:01.944 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[987] - Application version is -1: true
2020-04-02 15:16:01.944 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[1070] - Getting all instance registry info from the eureka server
2020-04-02 15:16:02.034 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[1079] - The response status is 200
2020-04-02 15:16:02.034 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[1294] - Starting heartbeat executor: renew interval is: 30
2020-04-02 15:16:02.038 [restartedMain,] INFO  c.n.discovery.InstanceInfoReplicator[60] - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-04-02 15:16:02.042 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[468] - Discovery Client initialized at timestamp 1585811762038 with initial instances count: 1
2020-04-02 15:16:02.042 [restartedMain,] INFO  o.s.c.n.e.s.EurekaServiceRegistry[41] - Registering application EUREKA-ELK with eureka with status UP
2020-04-02 15:16:02.042 [restartedMain,] INFO  c.netflix.discovery.DiscoveryClient[1330] - Saw local status change event StatusChangeEvent [timestamp=1585811762042, current=UP, previous=STARTING]
2020-04-02 15:16:02.042 [DiscoveryClient-InstanceInfoReplicator-0,] INFO  c.netflix.discovery.DiscoveryClient[847] - DiscoveryClient_EUREKA-ELK/DESKTOP-CJVSSFN:eureka-elk:6060: registering service...
2020-04-02 15:16:02.053 [restartedMain,] INFO  o.a.coyote.http11.Http11NioProtocol[173] - Starting ProtocolHandler ["http-nio-6060"]
2020-04-02 15:16:02.073 [DiscoveryClient-InstanceInfoReplicator-0,] INFO  c.netflix.discovery.DiscoveryClient[856] - DiscoveryClient_EUREKA-ELK/DESKTOP-CJVSSFN:eureka-elk:6060 - registration status: 204
2020-04-02 15:16:02.073 [restartedMain,] INFO  o.s.b.w.e.tomcat.TomcatWebServer[204] - Tomcat started on port(s): 6060 (http) with context path '/es'
2020-04-02 15:16:02.077 [restartedMain,] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration[145] - Updating port to 6060
2020-04-02 15:16:02.471 [restartedMain,] INFO  com.guoyu.elk.ElkApplication[61] - Started ElkApplication in 8.713 seconds (JVM running for 9.817)
